date,rv5m_var,rq5m,n_buckets,rv5m,rs_pos_var,rs_neg_var
2022-12-19,6.36494050004e-05,3.67394695734e-09,77,0.126647740051,2.59384592272e-05,3.77109457732e-05
2022-12-20,7.11397296416e-05,9.34328232702e-09,77,0.133892538514,3.68325512838e-05,3.43071783578e-05
2022-12-21,5.43640957391e-05,2.77027776047e-09,77,0.117045940238,3.57032897284e-05,1.86608060106e-05
2022-12-22,8.51691552927e-05,8.90910646997e-09,77,0.14650128714,4.14162873741e-05,4.37528679186e-05
2022-12-23,0.000104231262679,2.32689881838e-08,77,0.162068745275,6.35848255086e-05,4.06464371705e-05
2022-12-27,4.76976816407e-05,2.21181957254e-09,77,0.109634920411,2.5709507721e-05,2.19881739197e-05
2022-12-28,7.17130526266e-05,6.92404020523e-09,77,0.134430983266,2.09299280075e-05,5.07831246191e-05
2022-12-29,2.9915298135e-05,9.27478044353e-10,77,0.0868254290518,2.12351620616e-05,8.68013607341e-06
2022-12-30,8.68771230988e-05,1.5345458075e-08,77,0.147962951515,4.17841639582e-05,4.50929591406e-05
2023-01-03,0.000146838488585,2.70221298525e-08,77,0.192362416088,5.88620441585e-05,8.79764444263e-05
2023-01-04,0.000147341825444,3.30889070038e-08,77,0.192691826531,6.69806258452e-05,8.03611995984e-05
2023-01-05,8.61166125449e-05,1.24438761635e-08,77,0.147313904168,4.88011118823e-05,3.73155006626e-05
2023-01-06,0.000122586339156,3.90552539464e-08,77,0.175760511684,6.31511667446e-05,5.94351724115e-05
2023-01-09,5.48376437538e-05,2.87138113008e-09,77,0.117554609548,2.34589596764e-05,3.13786840774e-05
2023-01-10,7.23009093282e-05,7.37386016875e-09,77,0.134980847348,3.84333158788e-05,3.38675934495e-05
2023-01-11,3.34591436457e-05,1.26078713383e-09,77,0.0918243115886,1.79910716928e-05,1.54680719529e-05
2023-01-12,0.000141442288219,3.92047094206e-08,77,0.188794747361,6.70838399552e-05,7.43584482638e-05
2023-01-13,3.46743683702e-05,1.36204354629e-09,77,0.093476953466,2.39084545073e-05,1.07659138629e-05
2023-01-17,3.64824798642e-05,2.10838918889e-09,77,0.0958831837486,2.04875124556e-05,1.59949674086e-05
2023-01-18,4.68615684569e-05,1.84494434624e-09,77,0.108669753157,1.04243785633e-05,3.64371898936e-05
2023-01-19,5.83981877322e-05,3.55652758161e-09,77,0.121310936475,2.77798080732e-05,3.06183796589e-05
2023-01-20,4.5635942961e-05,2.41817190487e-09,77,0.107239254129,3.30401923324e-05,1.25957506286e-05
2023-01-23,6.15149651065e-05,5.51333096808e-09,77,0.124506109115,3.64394043893e-05,2.50755607172e-05
2023-01-24,6.52567330817e-05,1.19024134273e-08,77,0.128236877444,2.92339568272e-05,3.60227762545e-05
2023-01-25,6.29566557493e-05,3.55779299787e-09,77,0.125956648291,3.86353180422e-05,2.43213377071e-05
2023-01-26,9.24817666948e-05,1.35549410161e-08,77,0.152661079543,3.77782178729e-05,5.47035488219e-05
2023-01-27,4.92470492661e-05,2.35590342465e-09,77,0.111401330401,2.62280697381e-05,2.3018979528e-05
2023-01-30,5.25637411146e-05,2.72940927267e-09,77,0.115091540788,2.60563514183e-05,2.65073896962e-05
2023-01-31,4.31359457116e-05,4.0755853225e-09,77,0.104260530976,3.26247732026e-05,1.0511172509e-05
2023-02-01,0.000203348559389,1.74856476458e-07,77,0.226371016179,0.000153331708783,5.00168506058e-05
2023-02-02,8.56865615005e-05,8.23497322443e-09,77,0.146945614083,4.99748571342e-05,3.57117043663e-05
2023-02-03,0.000111072261366,1.31032438744e-08,77,0.167302749123,5.66045878115e-05,5.4467673554e-05
2023-02-06,4.08829358448e-05,1.86760482868e-09,77,0.101501230696,1.9334170936e-05,2.15487649087e-05
2023-02-07,0.000172058681634,5.34380750895e-08,77,0.208227730554,9.85338204208e-05,7.35248612129e-05
2023-02-08,8.0678224304e-05,5.57144776897e-09,77,0.142586508915,3.46515122495e-05,4.60267120544e-05
2023-02-09,7.76274805076e-05,6.07264853492e-09,77,0.139864667046,2.38899432058e-05,5.37375373018e-05
2023-02-10,5.21649808626e-05,2.97852009574e-09,77,0.114654154645,3.09271866425e-05,2.12377942201e-05
2023-02-13,3.06663683136e-05,1.3180375289e-09,77,0.087908616273,2.25075377333e-05,8.15883058036e-06
2023-02-14,0.000142547558075,4.46151581189e-08,77,0.189530959568,5.7246552413e-05,8.53010056618e-05
2023-02-15,5.36609075008e-05,4.42799587878e-09,77,0.116286494015,2.85458343407e-05,2.51150731601e-05
2023-02-16,4.92117741105e-05,3.27649091535e-09,77,0.111361425439,2.40025707183e-05,2.52092033922e-05
2023-02-17,6.12061178898e-05,3.46010785111e-09,77,0.124193162888,3.03428524139e-05,3.08632654758e-05
2023-02-21,3.10925508519e-05,1.8279330302e-09,77,0.0885173588325,8.11090450057e-06,2.29816463513e-05
2023-02-22,6.48956329691e-05,3.79402978374e-09,77,0.127881583929,2.71633726629e-05,3.77322603062e-05
2023-02-23,5.48375687758e-05,5.07075798503e-09,77,0.117554529183,2.38876298523e-05,3.09499389235e-05
2023-02-24,5.95044022671e-05,7.3496625975e-09,77,0.122454519603,2.73903370603e-05,3.21140652068e-05
2023-02-27,3.84755108603e-05,2.86259142411e-09,77,0.0984673993604,1.47450956656e-05,2.37304151948e-05
2023-02-28,2.71373896498e-05,1.39721606054e-09,77,0.0826959623667,1.25329446771e-05,1.46044449727e-05
2023-03-01,5.65524465355e-05,4.22405420175e-09,77,0.119378459225,2.76366245837e-05,2.89158219517e-05
2023-03-02,4.55271214338e-05,2.25333468829e-09,77,0.107111318736,3.28797547099e-05,1.26473667239e-05
2023-03-03,3.16235573231e-05,2.11230858642e-09,77,0.0892700198578,2.247804382e-05,9.1455135031e-06
2023-03-06,2.45349333021e-05,5.77172375133e-10,77,0.0786308030744,1.05508577565e-05,1.39840755456e-05
2023-03-07,0.00010520714687,5.46965313341e-08,77,0.162825676757,2.7694666812e-05,7.75124800584e-05
2023-03-08,5.27777993085e-05,4.00082666172e-09,77,0.11532564947,3.25121740581e-05,2.02656252505e-05
2023-03-09,8.40539860775e-05,8.44341558244e-09,77,0.145539013641,2.20953628837e-05,6.19586231938e-05
2023-03-10,0.000190172967771,3.60300447848e-08,77,0.218914567533,9.96336040739e-05,9.05393636967e-05
2023-03-13,0.000366979950076,1.84034155415e-07,77,0.304103514316,0.000223633573203,0.000143346376872
2023-03-14,0.000112993161459,1.40879054705e-08,77,0.168743227087,6.09933854629e-05,5.19997759958e-05
2023-03-15,0.000162170743594,4.84881862458e-08,77,0.202155948183,0.000106045960123,5.61247834704e-05
2023-03-16,0.000107093055429,1.26305228653e-08,77,0.164278574282,7.37244815148e-05,3.33685739144e-05
2023-03-17,0.000119664125493,1.34516760791e-08,77,0.173652986223,5.09290023107e-05,6.87351231825e-05
2023-03-20,6.48956408071e-05,6.10107322682e-09,77,0.127881591652,3.74995886683e-05,2.73960521387e-05
2023-03-21,3.45998523958e-05,1.57222443771e-09,77,0.0933764574384,1.7473219322e-05,1.71266330738e-05
2023-03-22,0.000191934729797,7.00215914927e-08,77,0.219926241974,6.52133720111e-05,0.000126721357786
2023-03-23,0.000108467736515,1.48551370631e-08,77,0.165329578726,4.36880720373e-05,6.47796644778e-05
2023-03-24,0.000100398942949,1.42493172405e-08,77,0.159061414627,6.33863657535e-05,3.70125771959e-05
2023-03-27,4.44905648035e-05,2.45753780723e-09,77,0.105884948555,1.81067329519e-05,2.63838318516e-05
2023-03-28,3.05640901867e-05,3.47654130102e-09,77,0.0877618979229,1.07234555914e-05,1.98406345953e-05
2023-03-29,1.92142541719e-05,3.37242001904e-10,77,0.0695844239131,1.15249134376e-05,7.68934073425e-06
2023-03-30,1.91825083287e-05,3.37054974762e-10,77,0.0695269163622,8.41817788934e-06,1.07643304394e-05
2023-03-31,2.02087646723e-05,6.62899907652e-10,77,0.071362516053,1.54053825392e-05,4.80338213313e-06
2023-04-03,2.31067152333e-05,9.49440899194e-10,77,0.0763078779603,1.26195971683e-05,1.0487118065e-05
2023-04-04,3.86299974406e-05,1.30352071945e-09,77,0.0986648841028,1.40604780119e-05,2.45695194287e-05
2023-04-05,3.05078561688e-05,1.34952240798e-09,77,0.0876811254178,1.3605708392e-05,1.69021477768e-05
2023-04-06,1.55591561653e-05,2.03963583126e-10,77,0.0626171490381,1.00072249867e-05,5.55193117864e-06
2023-04-10,2.43603938663e-05,8.17802076809e-10,77,0.0783506174469,1.7768004864e-05,6.59238900229e-06
2023-04-11,1.31743216724e-05,1.78179714104e-10,77,0.057618825582,5.40061198795e-06,7.77370968445e-06
2023-04-12,5.57582818e-05,5.76992743777e-09,77,0.118537281113,1.50972620922e-05,4.06610197079e-05
2023-04-13,1.79768535599e-05,3.63838853729e-10,77,0.0673065160077,1.3628616158e-05,4.34823740191e-06
2023-04-14,5.33788706459e-05,1.03240033469e-08,77,0.115980495786,1.76327156751e-05,3.57461549708e-05
2023-04-17,1.69719320165e-05,2.58267564668e-10,77,0.0653982176222,8.5011073283e-06,8.47082468823e-06
2023-04-18,2.80850825337e-05,1.06936799838e-09,77,0.0841275269962,9.74903223909e-06,1.83360502946e-05
2023-04-19,1.25873833332e-05,1.53262681127e-10,77,0.0563206942425,7.19011916375e-06,5.39726416943e-06
2023-04-20,2.31687616133e-05,5.22272561618e-10,77,0.0764102606105,1.16286767617e-05,1.15400848516e-05
2023-04-21,3.49077366521e-05,2.17849681647e-09,77,0.0937909890999,1.50535474268e-05,1.98541892253e-05
2023-04-24,1.48347137097e-05,2.91644777376e-10,77,0.0611420301826,6.3551646195e-06,8.47954909024e-06
2023-04-25,2.90220522268e-05,1.02450337247e-09,77,0.0855193379369,6.96174518967e-06,2.20603070371e-05
2023-04-26,2.81098366154e-05,7.73271283817e-10,77,0.0841645936667,9.55269679353e-06,1.85571398219e-05
2023-04-27,2.25535285215e-05,7.71631220571e-10,77,0.0753889195268,1.80177449778e-05,4.53578354369e-06
2023-04-28,5.04109556982e-05,5.1898697045e-09,77,0.112710074243,2.72602542906e-05,2.31507014076e-05
2023-05-01,2.12803996586e-05,8.3793815258e-10,77,0.073230189908,8.66356620468e-06,1.26168334539e-05
2023-05-02,3.99479729067e-05,2.09576499984e-09,77,0.100333888455,1.22275546427e-05,2.7720418264e-05
2023-05-03,4.85123451559e-05,5.08401538536e-09,77,0.110567223802,1.30884404632e-05,3.54239046927e-05
2023-05-04,7.56586761154e-05,6.72393697123e-09,77,0.138079637822,3.49842646786e-05,4.06744114367e-05
2023-05-05,2.30129115228e-05,4.98154881954e-10,77,0.076152831226,1.4827368338e-05,8.18554318478e-06
2023-05-08,1.82827676868e-05,6.53956444564e-10,77,0.0678767814283,7.72397025918e-06,1.05587974276e-05
2023-05-09,1.6754970612e-05,4.13897520056e-10,77,0.0649788626727,8.10346280821e-06,8.65150780383e-06
2023-05-10,6.76982791917e-05,6.94554876212e-09,77,0.130613806147,2.67070074813e-05,4.09912717104e-05
2023-05-11,3.66019228314e-05,1.70888921411e-09,77,0.0960400153765,1.70612070364e-05,1.95407157951e-05
2023-05-12,3.47175074369e-05,1.50435182873e-09,77,0.0935350836537,1.43923759555e-05,2.03251314814e-05
